Death toll (estimate),Location,Date,Event,Disease,Link,Covid reference class,Did it become endemic?,"Was there a second, third, or fourth wave?/did it last more than one year?",Did it become endemic? (numeric),"Was there a second, third, or fourth wave?/did it last more than one year? (numerical)",Notes,,,,,,
,Cambodia,2008,,Dengue fever,,,,,,,,,,,,,
,Chad,2008,,Cholera,,,,,,,,,,,,,
,China,2008–2017,,"Hand, foot, and mouth disease",,,,,,,,,,,,,
18+,Madagascar,2008,,Bubonic plague,,,,,,,,,,,,,
172,Philippines,2008,,Dengue fever,,,,,,,,,,,,,
0,Vietnam,2008,,Cholera,,,,,,,,,,,,,
4293,Zimbabwe,2008–2009,2008–09 Zimbabwean cholera outbreak,Cholera,,,,,,,,,,,,,
18,Bolivia,2009,2009 Bolivian dengue fever epidemic,Dengue fever,,,,,,,,,,,,,
49,India,2009,2009 Gujarat hepatitis outbreak,Hepatitis B,,,,,,,,,,,,,
1+ (503 cases),"Queensland, Australia",2009,,Dengue fever,,,,,,,,,,,,,
,Worldwide,2009,Mumps outbreaks in the 2000s,Mumps,,,,,,,,,,,,,
1100,West Africa,2009–2010,2009–10 West African meningitis outbreak,Meningitis,,,,,,,,,,,,,
"151,700-575,400",Worldwide,2009–2010,"2009 flu pandemic (informally called ""swine flu"")",Pandemic H1N1/09 virus,Yes,No,No,New virus; no immunity,0,New virus; 0 immunity,,,,,,,
"10,075 (May 2017)",Hispaniola,2010–present,Haiti cholera outbreak,"Cholera (strain serogroup O1, serotype Ogawa)",,,,,,,,,,,,,
"4,500+",Democratic Republic of the Congo,2010–2014,,Measles,,,,,,,,,,,,,
170,Vietnam,2011–present,,"Hand, foot and mouth disease",,,,,,,,,,,,,
350+,Pakistan,2011,2011 dengue outbreak in Pakistan,Dengue fever,,,,,,,,,,,,,
171,Darfur Sudan,2012,"2012 yellow fever outbreak in Darfur, Sudan",Yellow fever,,,,,,,,,,,,,
862 (as of 13 January 2020),Worldwide,2012–present,2012 Middle East respiratory syndrome coronavirus outbreak,Middle East respiratory syndrome (MERS),,,,,,,,,,,,,
142,Vietnam,2013–2014,,Measles,,,,,,,,,,,,,
"11,300+","Worldwide, primarily concentrated in Guinea, Liberia, Sierra Leone",2013–2016,Ebola virus epidemic in West Africa,Ebola virus disease  Ebola virus virion,Yes,No,Yes,New virus; no immunity,1,New virus; 0 immunity,,,,,,,
183,Americas,2013–2015,2013–14 chikungunya outbreak,Chikungunya,,,,,,,,,,,,,
292,Madagascar,2014–2017,2014 Madagascar plague outbreak,Bubonic plague,,,,,,,,,,,,,
36,India,2014–2015,2014 Odisha jaundice outbreak,"Primarily Hepatitis E, but also Hepatitis A",,,,,,,,,,,,,
2035,India,2015,2015 Indian swine flu outbreak,Influenza A virus subtype H1N1,,,,,,,,,,,,,
~53,Worldwide,2015–2016,2015–16 Zika virus epidemic,Zika virus,,,,,,,,,,,,,
100s (as of 1 April 2016),"Angola, DR Congo, China, Kenya",2016,2016 yellow fever outbreak in Angola,Yellow fever,,,,,,,,,,,,,
"3,886 (as of 30 November 2019)",Yemen,2016–present,2016–20 Yemen cholera outbreak,Cholera,,,,,,,,,,,,,
1317,India,2017,2017 Gorakhpur Japanese encephalitis outbreak,Japanese encephalitis,,,,,,,,,,,,,
"60,000–80,000+",United States,2017–2018,2017–18 United States flu season,Seasonal influenza,Unclear,Yes,Yes,,1,,,,,,,,
17,India,2018,2018 Nipah virus outbreak in Kerala,Nipah virus infection,,,,,,,,,,,,,
"2,271 (as of 26 April 2020)",Democratic Republic of the Congo & Uganda,2018–present,2018–20 Kivu Ebola epidemic,Ebola virus disease,,,,,,,,,,,,,
"6,400+ (as of April 2020)",Democratic Republic of the Congo,2019–present,2019 measles outbreak in the Democratic Republic of the Congo,Measles,,,,,,,,,,,,,
83,Samoa,2019–present,2019 Samoa measles outbreak,Measles,,,,,,,,,,,,,
"3,700+","Asia-Pacific, Latin America",2019–present,2019–20 dengue fever epidemic,Dengue fever,,,,,,,,,,,,,
"258,354 (As of 6 May 2020)",Worldwide,2019–present,COVID-19 pandemic,COVID-19 / SARS-CoV-2,,,,,,,,,,,,,
